Title,Authors,url,Keywords
Importance Weighted Expectation-Maximization for Protein Sequence Design,"['Zhenqiao Song', ' Lei Li']",https://icml.cc/virtual/2023/poster/24151,[]
Graphically Structured Diffusion Models,"['Christian Weilbach', ' William Harvey', ' Frank Wood']",https://icml.cc/virtual/2023/poster/23659,[]
Efficient Algorithms for Exact Graph Matching on Correlated Stochastic Block Models with Constant Correlation,"['Joonhyuk Yang', ' Dongpil Shin', ' Hye Won Chung']",https://icml.cc/virtual/2023/poster/24138,[]
MODeL: Memory Optimizations for Deep Learning,"['Benoit Steiner', ' Mostafa Elhoushi', ' Jacob Kahn', ' James Hegarty']",https://icml.cc/virtual/2023/poster/24377,[]
Short-lived High-volume Bandits,"['Su Jia', ' Nishant Oli', ' Ian Anderson', ' Paul Duff', ' Andrew Li', ' R. Ravi']",https://icml.cc/virtual/2023/poster/23494,[]
A Deep Conjugate Direction Method for Iteratively Solving Linear Systems,"['Ayano Kaneda', ' Osman Akar', ' Jingyu Chen', ' Victoria Kala', ' David Hyde', ' Joseph Teran']",https://icml.cc/virtual/2023/poster/24899,[]
Cell-Free Latent Go-Explore,"['Quentin Gallouédec', ' Emmanuel Dellandrea']",https://icml.cc/virtual/2023/poster/24696,[]
"A Fast, Well-Founded Approximation to the Empirical Neural Tangent Kernel","['Mohamad Amin Mohamadi', ' Won Bae', ' Danica J Sutherland']",https://icml.cc/virtual/2023/poster/23974,[]
Attention-Based Recurrence for Multi-Agent Reinforcement Learning under Stochastic Partial Observability,"['Thomy Phan', ' Fabian Ritz', ' Philipp Altmann', ' Maximilian Zorn', ' Jonas Nüßlein', ' Michael Kölle', ' Thomas Gabor', ' Claudia Linnhoff-Popien']",https://icml.cc/virtual/2023/poster/24563,[]
Secure Federated Correlation Test and Entropy Estimation,"['Qi Pang', ' Lun Wang', ' Shuai Wang', ' Wenting Zheng', ' Dawn Song']",https://icml.cc/virtual/2023/poster/24297,[]
"Reduce, Reuse, Recycle: Compositional Generation with Energy-Based Diffusion Models and MCMC","['Yilun Du', ' Conor Durkan', ' Robin Strudel', ' Josh Tenenbaum', ' Sander Dieleman', ' Rob Fergus', ' Jascha Sohl-Dickstein', ' Arnaud Doucet', ' Will Grathwohl']",https://icml.cc/virtual/2023/poster/24328,[]
"Reasons for the Superiority of Stochastic Estimators over Deterministic Ones: Robustness, Consistency and Perceptual Quality","['Guy Ohayon', ' Theo Adrai', ' Michael Elad', ' Tomer Michaeli']",https://icml.cc/virtual/2023/poster/24646,[]
Quantum Policy Gradient Algorithm with Optimized Action Decoding,"['Nico Meyer', ' Daniel Scherer', ' Axel Plinge', ' Christopher Mutschler', ' Michael Hartmann']",https://icml.cc/virtual/2023/poster/25057,[]
Normalizing Flows for Interventional Density Estimation,"['Valentyn Melnychuk', ' Dennis Frauen', ' Stefan Feuerriegel']",https://icml.cc/virtual/2023/poster/24936,[]
Width and Depth Limits Commute in Residual Networks,"['Soufiane Hayou', ' Greg Yang']",https://icml.cc/virtual/2023/poster/24285,[]
Random Grid Neural Processes for Parametric Partial Differential Equations,"['Arnaud Vadeboncoeur', ' Ieva Kazlauskaite', ' Yanni Papandreou', ' Fehmi Cirak', ' Mark Girolami', ' Omer Deniz Akyildiz']",https://icml.cc/virtual/2023/poster/24951,[]
DevFormer: A Symmetric Transformer for Context-Aware Device Placement,"['Haeyeon Kim', ' Minsu Kim', ' Federico Berto', ' Joungho Kim', ' Jinkyoo Park']",https://icml.cc/virtual/2023/poster/24744,[]
Settling the Reward Hypothesis,"['Michael Bowling', ' John Martin', ' David Abel', ' Will Dabney']",https://icml.cc/virtual/2023/poster/24710,[]
"For Pre-Trained Vision Models in Motor Control, Not All Policy Learning Methods are Created Equal","['Yingdong Hu', ' Renhao Wang', ' Li Li', ' Yang Gao']",https://icml.cc/virtual/2023/poster/25065,[]
A Connection between One-Step RL and Critic Regularization in Reinforcement Learning,"['Benjamin Eysenbach', ' Matthieu Geist', ' Sergey Levine', ' Ruslan Salakhutdinov']",https://icml.cc/virtual/2023/poster/24855,[]
Global optimality for Euclidean CCCP under Riemannian convexity,"['Melanie Weber', ' Suvrit Sra']",https://icml.cc/virtual/2023/poster/23893,[]
Global Selection of Contrastive Batches via Optimization on Sample Permutations,"['Vin Sachidananda', ' Ziyi Yang', ' Chenguang Zhu']",https://icml.cc/virtual/2023/poster/24490,[]
Invariant Slot Attention: Object Discovery with Slot-Centric Reference Frames,"['Ondrej Biza', ' Sjoerd van Steenkiste', ' Mehdi S. M. Sajjadi', ' Gamaleldin Elsayed', ' Aravindh Mahendran', ' Thomas Kipf']",https://icml.cc/virtual/2023/poster/23824,[]
The Price of Differential Privacy under Continual Observation,"['Palak Jain', ' Sofya Raskhodnikova', ' Satchit Sivakumar', ' Adam Smith']",https://icml.cc/virtual/2023/poster/23613,[]
Quantum Lower Bounds for Finding Stationary Points of Nonconvex Functions,"['Chenyi Zhang', ' Tongyang Li']",https://icml.cc/virtual/2023/poster/25063,[]
Differentially Private Optimization on Large Model at Small Cost,"['Zhiqi Bu', ' Yu-Xiang Wang', ' Sheng Zha', ' George Karypis']",https://icml.cc/virtual/2023/poster/24636,[]
Efficient Personalized Federated Learning via Sparse Model-Adaptation,"['Daoyuan Chen', ' Liuyi Yao', ' Dawei Gao', ' Bolin Ding', ' Yaliang Li']",https://icml.cc/virtual/2023/poster/24963,[]
A Critical View of Vision-Based Long-Term Dynamics Prediction Under Environment Misalignment,"['Hanchen Xie', ' Jiageng Zhu', ' Mahyar Khayatkhoei', ' Jiazhi Li', ' Mohamed Hussein', ' Wael AbdAlmageed']",https://icml.cc/virtual/2023/poster/23866,[]
Conformalization of Sparse Generalized Linear Models,"['Etash Guha', ' Eugene Ndiaye', ' Xiaoming Huo']",https://icml.cc/virtual/2023/poster/23694,[]
The Benefits of Model-Based Generalization in Reinforcement Learning,"['Kenny Young', ' Aditya Ramesh', ' Louis Kirsch', ' Jürgen Schmidhuber']",https://icml.cc/virtual/2023/poster/24549,[]
How Many Perturbations Break This Model? Evaluating Robustness Beyond Adversarial Accuracy,"['Raphaël Olivier', ' Bhiksha Raj']",https://icml.cc/virtual/2023/poster/24462,[]
Gradient Descent Converges Linearly for Logistic Regression on Separable Data,"['Kyriakos Axiotis', ' Maxim Sviridenko']",https://icml.cc/virtual/2023/poster/23756,[]
Social learning spontaneously emerges by searching optimal heuristics with deep reinforcement learning,"['Seungwoong Ha', ' Hawoong Jeong']",https://icml.cc/virtual/2023/poster/25240,[]
Understanding Gradient Regularization in Deep Learning: Efficient Finite-Difference Computation and Implicit Bias,"['Ryo Karakida', ' Tomoumi Takase', ' Tomohiro Hayase', ' Kazuki Osawa']",https://icml.cc/virtual/2023/poster/24082,[]
Understanding and Defending Patched-based Adversarial Attacks for Vision Transformer,"['Liang Liu', ' Yanan Guo', ' Youtao Zhang', ' Jun Yang']",https://icml.cc/virtual/2023/poster/25172,[]
ChiPFormer: Transferable Chip Placement via Offline Decision Transformer,"['Yao LAI', ' Jinxin Liu', ' Zhentao Tang', ' Bin Wang', ' Jianye Hao', ' Ping Luo']",https://icml.cc/virtual/2023/poster/25027,[]
Blackout Diffusion: Generative Diffusion Models in Discrete-State Spaces,"['Javier E. Santos', ' Zachary Fox', ' Nicholas Lubbers', ' Yen Ting Lin']",https://icml.cc/virtual/2023/poster/23799,[]
Provable Reset-free Reinforcement Learning by No-Regret Reduction,"['Hoai-An Nguyen', ' Ching-An Cheng']",https://icml.cc/virtual/2023/poster/24302,[]
R-U-SURE? Uncertainty-Aware Code Suggestions By Maximizing Utility Across Random User Intents,"['Daniel D. Johnson', ' Daniel Tarlow', ' Christian Walder']",https://icml.cc/virtual/2023/poster/24281,[]
Understanding Backdoor Attacks through the Adaptability Hypothesis,"['Xun Xian', ' Ganghua Wang', ' Jayanth Srinivasa', ' Ashish Kundu', ' Xuan Bi', ' Mingyi Hong', ' Jie Ding']",https://icml.cc/virtual/2023/poster/25104,[]
PFGM++: Unlocking the Potential of Physics-Inspired Generative Models,"['Yilun Xu', ' Ziming Liu', ' Yonglong Tian', ' Shangyuan Tong', ' Max Tegmark', ' Tommi Jaakkola']",https://icml.cc/virtual/2023/poster/23652,[]
Half-Hop: A graph upsampling approach for slowing down message passing,"['Mehdi Azabou', ' Venkataramana Ganesh', ' Shantanu Thakoor', ' Chi-Heng Lin', ' Lakshmi Sathidevi', ' Ran Liu', ' Michal Valko', ' Petar Veličković', ' Eva Dyer']",https://icml.cc/virtual/2023/poster/23873,[]
Constrained Efficient Global Optimization of Expensive Black-box Functions,"['Wenjie Xu', ' Yuning Jiang', ' Bratislav Svetozarevic', ' Colin Jones']",https://icml.cc/virtual/2023/poster/24969,[]
Sampling random graph homomorphisms and applications to network data analysis,"['Hanbaek Lyu', ' Facundo Memoli', ' David Sivakoff']",https://icml.cc/virtual/2023/poster/25663,[]
Uncovering Adversarial Risks of Test-Time Adaptation,"['Tong Wu', ' Feiran Jia', ' Xiangyu Qi', ' Jiachen Wang', ' Vikash Sehwag', ' Saeed Mahloujifar', ' Prateek Mittal']",https://icml.cc/virtual/2023/poster/24831,[]
Neural Wasserstein Gradient Flows for Discrepancies with Riesz Kernels,"['Fabian Altekrüger', ' Johannes Hertrich', ' Gabriele Steidl']",https://icml.cc/virtual/2023/poster/24874,[]
Recovery Bounds on Class-Based Optimal Transport: A Sum-of-Norms Regularization Framework,"['Arman Rahbar', ' Ashkan Panahi', ' Morteza Haghir Chehreghani', ' Devdatt Dubhashi', ' Hamid Krim']",https://icml.cc/virtual/2023/poster/23898,[]
Sequential Changepoint Detection via Backward Confidence Sequences,"['Shubhanshu Shekhar', ' Aaditya Ramdas']",https://icml.cc/virtual/2023/poster/24076,[]
A Fully First-Order Method for Stochastic Bilevel Optimization,"['Jeongyeol Kwon', ' Dohyun Kwon', ' Stephen Wright', ' Robert Nowak']",https://icml.cc/virtual/2023/poster/24834,[]
Adversarial Cheap Talk,"['Christopher Lu', ' Timon Willi', ' Alistair Letcher', ' Jakob Foerster']",https://icml.cc/virtual/2023/poster/24581,[]
Online Learning in Stackelberg Games with an Omniscient Follower,"['Geng Zhao', ' Banghua Zhu', ' Jiantao Jiao', ' Michael Jordan']",https://icml.cc/virtual/2023/poster/24330,[]
One-sided Matrix Completion from Two Observations Per Row,"['Steven Cao', ' Percy Liang', ' Greg Valiant']",https://icml.cc/virtual/2023/poster/24268,[]
Fast Sampling of Diffusion Models via Operator Learning,"['Hongkai Zheng', ' Weili Nie', ' Arash Vahdat', ' Kamyar Azizzadenesheli', ' Anima Anandkumar']",https://icml.cc/virtual/2023/poster/23465,[]
UMD: Unsupervised Model Detection for X2X Backdoor Attacks,"['Zhen Xiang', ' Zidi Xiong', ' Bo Li']",https://icml.cc/virtual/2023/poster/24572,[]
The Hessian perspective into the Nature of Convolutional Neural Networks,"['Sidak Pal Singh', ' Thomas Hofmann', ' Bernhard Schölkopf']",https://icml.cc/virtual/2023/poster/23468,[]
Low-Switching Policy Gradient with Exploration via Online Sensitivity Sampling,"['Yunfan Li', ' Yiran Wang', ' Yu Cheng', ' Lin Yang']",https://icml.cc/virtual/2023/poster/24206,[]
Rethinking Backdoor Attacks,"['Alaa Khaddaj', ' Guillaume Leclerc', ' Aleksandar Makelov', ' Kristian Georgiev', ' Hadi Salman', ' Andrew Ilyas', ' Aleksander Madry']",https://icml.cc/virtual/2023/poster/23636,[]
Stabilizing Transformer Training by Preventing Attention Entropy Collapse,"['Shuangfei Zhai', ' Tatiana Likhomanenko', ' Etai Littwin', ' Dan Busbridge', ' Jason Ramapuram', ' Yizhe Zhang', ' Jiatao Gu', ' Joshua M Susskind']",https://icml.cc/virtual/2023/poster/24935,[]
Propensity Matters: Measuring and Enhancing Balancing for Recommendation,"['Haoxuan Li', ' Yanghao Xiao', ' Chunyuan Zheng', ' Peng Wu', ' Peng Cui']",https://icml.cc/virtual/2023/poster/24122,[]
OpenFE: Automated Feature Generation with Expert-level Performance,"['Tianping Zhang', ' Zheyu Zhang', ' Zhiyuan Fan', ' Haoyan Luo', ' Fengyuan Liu', ' Qian Liu', ' Wei Cao', ' Li Jian']",https://icml.cc/virtual/2023/poster/24950,[]
Universal Morphology Control via Contextual Modulation,"['Zheng Xiong', ' Jacob Beck', ' Shimon Whiteson']",https://icml.cc/virtual/2023/poster/23903,[]
Analyzing Diffusion as Serial Reproduction,"['Raja Marjieh', ' Ilia Sucholutsky', ' Thomas Langlois', ' Nori Jacoby', ' Thomas Griffiths']",https://icml.cc/virtual/2023/poster/23920,[]
On the Connection Between MPNN and Graph Transformer,"['Chen Cai', ' Truong Son Hy', ' Rose Yu', ' Yusu Wang']",https://icml.cc/virtual/2023/poster/25021,[]
Performative Reinforcement Learning,"['Debmalya Mandal', ' Stelios Triantafyllou', ' Goran Radanovic']",https://icml.cc/virtual/2023/poster/24002,[]
XAI Beyond Classification: Interpretable Neural Clustering,"['Xi Peng', ' Yunfan Li', ' Ivor W. Tsang', ' Hongyuan Zhu', ' Jiancheng Lv', ' Joey Tianyi Zhou']",https://icml.cc/virtual/2023/poster/25640,[]
A Hybrid Quantum-Classical Approach based on the Hadamard Transform for the Convolutional Layer,"['Hongyi Pan', ' Xin Zhu', ' Salih Furkan Atici', ' Ahmet Cetin']",https://icml.cc/virtual/2023/poster/24466,[]
On the Stepwise Nature of Self-Supervised Learning,"['James B Simon', ' Maksis Knutins', ' Liu Ziyin', ' Daniel Geisz', ' Abraham Fetterman', ' Joshua Albrecht']",https://icml.cc/virtual/2023/poster/24441,[]
Linear optimal partial transport embedding,"['Yikun Bai', ' Ivan Medri', ' Rocio Diaz Martin', ' Rana Muhammad Shahroz Khan', ' Soheil Kolouri']",https://icml.cc/virtual/2023/poster/24509,[]
A Coupled Flow Approach to Imitation Learning,"['Gideon Freund', ' Elad Sarafian', ' Sarit Kraus']",https://icml.cc/virtual/2023/poster/25004,[]
Concept-based Explanations for Out-of-Distribution Detectors,"['Jihye Choi', ' Jayaram Raghuram', ' Ryan Feng', ' Jiefeng Chen', ' Somesh Jha', ' Atul Prakash']",https://icml.cc/virtual/2023/poster/25072,[]
Not All Semantics are Created Equal: Contrastive Self-supervised Learning with Automatic Temperature Individualization,"['Zi-Hao Qiu', ' Quanqi Hu', ' Zhuoning Yuan', ' Denny Zhou', ' Lijun Zhang', ' Tianbao Yang']",https://icml.cc/virtual/2023/poster/24412,[]
Lottery Tickets in Evolutionary Optimization: On Sparse Backpropagation-Free Trainability,"['Robert Lange', ' Henning Sprekeler']",https://icml.cc/virtual/2023/poster/23483,[]
XTab: Cross-table Pretraining for Tabular Transformers,"['Bingzhao Zhu', ' Xingjian Shi', ' Nick Erickson', ' Mu Li', ' George Karypis', ' Mahsa Shoaran']",https://icml.cc/virtual/2023/poster/24671,[]
Implicit Graph Neural Networks: A Monotone Operator Viewpoint,"['Justin Baker', ' Qingsong Wang', ' Cory Hauck', ' Bao Wang']",https://icml.cc/virtual/2023/poster/24645,[]
Repository-Level Prompt Generation for Large Language Models of Code,"['Disha Shrivastava', ' Hugo Larochelle', ' Daniel Tarlow']",https://icml.cc/virtual/2023/poster/24506,[]
Optimal No-Regret Learning for One-Sided Lipschitz Functions,"['PAUL DUETTING', ' Guru Guruganesh', ' Jon Schneider', ' Joshua Wang']",https://icml.cc/virtual/2023/poster/23679,[]
